fold,accuracy,f1_macro,f1_weighted
0,0.9130434782608695,0.6201923076923077,0.8929765886287626
1,1.0,1.0,1.0
2,0.8636363636363636,0.5696969696969697,0.884297520661157
3,0.9090909090909091,0.8472222222222222,0.9002525252525252
4,1.0,1.0,1.0
