Experiment,Model,Features,Target,N_Folds,Type,rmse_mean,rmse_std,mae_mean,mae_std,r2_mean,r2_std,accuracy_mean,accuracy_std,f1_macro_mean,f1_macro_std,f1_weighted_mean,f1_weighted_std
CV1_nn_composition_MIC_PAO1,nn,composition,MIC_PAO1,5,regression,57.51113427743145,2.9144847656803985,42.47232628267041,5.705105320253589,-0.1345315691483879,0.10463280729612998,,,,,,
CV2_ridge_composition_MIC_PAO1,ridge,composition,MIC_PAO1,5,regression,57.22712446534558,9.060196845568964,36.418553449894716,7.320850360735593,-0.11868773271093196,0.22952361788812595,,,,,,
CV3_xgboost_composition_MIC_PAO1,xgboost,composition,MIC_PAO1,5,regression,55.11710614887691,4.974547975085366,33.19250444857029,7.040525533202643,-0.03583440589355422,0.08769190761378357,,,,,,
CV4_logistic_composition_MIC_PAO1,logistic,composition,MIC_PAO1,5,classification,,,,,,,0.7482213438735178,0.04274626350860325,0.548439308600599,0.08235760779007988,0.7216804375515966,0.046084749757520575
CV5_nn_entropy_MIC_PAO1,nn,entropy,MIC_PAO1,5,regression,60.07509767524672,3.1983880283559767,45.109387357270336,2.7044908133818804,-0.24921784487292786,0.20542078797008828,,,,,,
CV6_ridge_entropy_MIC_PAO1,ridge,entropy,MIC_PAO1,5,regression,54.38049766682549,6.951998037410081,35.91536604657456,6.926234425601702,-0.010023876765636031,0.16342385045780017,,,,,,
CV7_xgboost_entropy_MIC_PAO1,xgboost,entropy,MIC_PAO1,5,regression,50.81039849176919,11.315248710778986,29.242995217666323,9.913155712631573,0.06489769971755097,0.4040942637318164,,,,,,
CV8_logistic_entropy_MIC_PAO1,logistic,entropy,MIC_PAO1,5,classification,,,,,,,0.8019762845849803,0.035073344745421384,0.6235827807713237,0.06904103989491593,0.7802370612452467,0.05046218217199181
CV9_nn_combined_MIC_PAO1,nn,combined,MIC_PAO1,5,regression,56.62385408863978,5.87834219468112,41.10437204812124,5.958543850044669,-0.0989429723884356,0.16723618846488952,,,,,,
CV10_ridge_combined_MIC_PAO1,ridge,combined,MIC_PAO1,5,regression,57.83252697017194,9.026927815556752,37.10233856963361,8.51021856587109,-0.15323656648789766,0.2763895769813541,,,,,,
CV11_xgboost_combined_MIC_PAO1,xgboost,combined,MIC_PAO1,5,regression,55.33643165640497,11.914451140875956,31.701668396297645,7.259141895761811,-0.12771895590124788,0.5942755701539248,,,,,,
CV12_logistic_combined_MIC_PAO1,logistic,combined,MIC_PAO1,5,classification,,,,,,,0.7837944664031621,0.033715206501400995,0.5899606491847871,0.09954274277078294,0.7704465759544471,0.05008508385203817
CV13_nn_composition_MIC_SA,nn,composition,MIC_SA,5,regression,43.6111426901253,6.476652640433284,32.814880618370566,5.867853626127706,0.3624446421871307,0.20416230495939913,,,,,,
CV14_ridge_composition_MIC_SA,ridge,composition,MIC_SA,5,regression,30.268487332507913,4.97503643023462,20.64627947287879,3.2027361234941694,0.6886663266270701,0.10964363464791012,,,,,,
CV15_xgboost_composition_MIC_SA,xgboost,composition,MIC_SA,5,regression,27.887406394170455,5.7384102664546806,14.252773619640484,4.016801941402144,0.7387836674187857,0.09769871937573339,,,,,,
CV16_logistic_composition_MIC_SA,logistic,composition,MIC_SA,5,classification,,,,,,,0.9549407114624506,0.04066346608572866,0.8748752228163994,0.1262969145711459,0.9489569609134826,0.043254777796294705
CV17_nn_entropy_MIC_SA,nn,entropy,MIC_SA,5,regression,36.6224131168779,5.526942589293518,23.539140527898613,2.613152649128084,0.5439619854990646,0.1577734375474852,,,,,,
CV18_ridge_entropy_MIC_SA,ridge,entropy,MIC_SA,5,regression,30.122275311729602,6.583498324652347,17.640751390371566,3.3075410644196146,0.6844615707831806,0.15512721063566107,,,,,,
CV19_xgboost_entropy_MIC_SA,xgboost,entropy,MIC_SA,5,regression,27.107726691931028,11.137992319325097,12.675689941526873,5.867384821536507,0.7130085148449676,0.2059390489182944,,,,,,
CV20_logistic_entropy_MIC_SA,logistic,entropy,MIC_SA,5,classification,,,,,,,0.9371541501976285,0.0541718314593259,0.8074222999223,0.18293429288719942,0.935505326908489,0.05290145317339824
CV21_nn_combined_MIC_SA,nn,combined,MIC_SA,5,regression,41.94541376664834,4.0560853658218985,28.031078386872185,1.0294237522209733,0.41493877920336153,0.14136518942430604,,,,,,
CV22_ridge_combined_MIC_SA,ridge,combined,MIC_SA,5,regression,29.606012553039,5.788615987163144,17.598999473197118,2.863372026623615,0.6973151932207384,0.13428779185649917,,,,,,
CV23_xgboost_combined_MIC_SA,xgboost,combined,MIC_SA,5,regression,27.91568723883351,7.536048897293733,15.530188066686094,4.243361012671749,0.7215978815037387,0.16426019240420292,,,,,,
CV24_logistic_combined_MIC_SA,logistic,combined,MIC_SA,5,classification,,,,,,,0.9371541501976285,0.05417183145932589,0.8471908576320342,0.1477731627684772,0.9284022675327023,0.06277781660918758
CV25_nn_composition_MIC_PAO1_PA,nn,composition,MIC_PAO1_PA,5,regression,57.26737695436907,6.198347762348142,41.63212671037488,4.476477378149355,-0.13294565532126568,0.2347345418296447,,,,,,
CV26_ridge_composition_MIC_PAO1_PA,ridge,composition,MIC_PAO1_PA,5,regression,56.01078937672865,7.128611758147913,34.98441595617503,7.295041985093735,-0.06826457497051781,0.1494345122267934,,,,,,
CV27_xgboost_composition_MIC_PAO1_PA,xgboost,composition,MIC_PAO1_PA,5,regression,55.155829760198664,5.333148150269637,31.816823315526186,6.976864700286936,-0.03447180960380743,0.06378704899665322,,,,,,
CV28_logistic_composition_MIC_PAO1_PA,logistic,composition,MIC_PAO1_PA,5,classification,,,,,,,0.7391304347826086,0.05038556831613426,0.5161232137038588,0.08127453316406642,0.7089928524236188,0.056861537946010565
