session,experiment,model,features,target,n_folds,type,rmse_mean,rmse_std,mae_mean,mae_std,r2_mean,r2_std,accuracy_mean,accuracy_std,f1_macro_mean,f1_macro_std,f1_weighted_mean,f1_weighted_std
1,nn_composition_MIC_PAO1,nn,composition,MIC_PAO1,5,regression,55.337485780978525,4.525250746307084,39.71610880711101,5.197072926639364,-0.0473110671809365,0.1100282381438823,,,,,,
1,xgboost_composition_MIC_PAO1,xgboost,composition,MIC_PAO1,5,regression,60.08765061603634,7.48836832249077,35.33724528376764,7.043146961048706,-0.2607438544174259,0.3673140658954075,,,,,,
1,ridge_composition_MIC_PAO1,ridge,composition,MIC_PAO1,5,regression,57.76852729165864,10.133784697160367,36.97718231563354,8.180335531543095,-0.1376102914998921,0.2532006004269443,,,,,,
1,logistic_composition_MIC_PAO1,logistic,composition,MIC_PAO1,5,classification,,,,,,,0.7482213438735178,0.0427462635086032,0.548439308600599,0.0823576077900798,0.7216804375515966,0.0460847497575205
1,nn_entropy_MIC_PAO1,nn,entropy,MIC_PAO1,5,regression,53.62013472928595,5.160111762260482,37.03156199495552,6.482721851008907,0.0214858542286545,0.075660969106871,,,,,,
1,xgboost_entropy_MIC_PAO1,xgboost,entropy,MIC_PAO1,5,regression,54.373518888818765,10.93639800943092,30.523863187043567,8.290695575032382,-0.0744928448437082,0.4548950332823877,,,,,,
1,ridge_entropy_MIC_PAO1,ridge,entropy,MIC_PAO1,5,regression,54.656437081148816,9.598492843002331,35.14733418914073,7.26103377051463,-0.0292527806605127,0.2597334711554117,,,,,,
1,logistic_entropy_MIC_PAO1,logistic,entropy,MIC_PAO1,5,classification,,,,,,,0.8019762845849803,0.0350733447454213,0.6235827807713237,0.0690410398949159,0.7802370612452467,0.0504621821719918
1,nn_combined_MIC_PAO1,nn,combined,MIC_PAO1,5,regression,54.58537008140878,5.184543945367583,38.48217874555959,7.049123260479956,-0.0135408759123728,0.0642852074140991,,,,,,
1,xgboost_combined_MIC_PAO1,xgboost,combined,MIC_PAO1,5,regression,54.242562627740654,6.937934108916717,30.18325165458348,8.482651062852684,-0.022393265227742,0.2655159133625999,,,,,,
1,ridge_combined_MIC_PAO1,ridge,combined,MIC_PAO1,5,regression,54.22816877336662,6.148818816509968,34.49600818776615,6.4313784800912615,-0.0065968722993523,0.1448518779839603,,,,,,
1,logistic_combined_MIC_PAO1,logistic,combined,MIC_PAO1,5,classification,,,,,,,0.7837944664031621,0.0337152065014009,0.5899606491847871,0.0995427427707829,0.7704465759544471,0.0500850838520381
