fold,accuracy,f1_macro,f1_weighted
0,0.9130434782608695,0.6201923076923077,0.8929765886287626
1,1.0,1.0,1.0
2,0.9090909090909091,0.8705882352941177,0.9090909090909091
3,0.8636363636363636,0.7451737451737452,0.8399438399438399
4,1.0,1.0,1.0
