Polymer Index,composition_A,composition_B1,composition_B2,composition_C,block_sequence_theoretical,Number of blocks,dpn,Target,NMR,GPC,Dispersity,MIC_PAO1,MIC_SA,MIC_PAO1_PA,cLogP_predicted,composition_entropy,block_entropy,sequence_entropy,randomness_score
29,0.5,0.3,0.0,0.2,(A20)(C8)(B12),3,40,7500,6300,12200,1.12,256.0,256.0,256.0,0.6763,1.4854752972273344,1.4854752972273344,0.4951584324091115,0.990316864818223
30,0.5,0.3,0.0,0.2,(C8)(A20)(B12),3,40,7500,7400,10800,1.15,256.0,256.0,256.0,0.6763,1.4854752972273344,1.4854752972273344,0.4951584324091115,0.990316864818223
31,0.5,0.15,0.0,0.35,ABC,1,40,7200,7000,11300,1.09,181.01933598375618,256.0,181.01933598375618,0.2952,1.4406454496153462,0.0,1.4406454496153462,1.4406454496153462
32,0.5,0.15,0.0,0.35,(A20)(B6C14),2,40,7200,6200,11300,1.09,64.0,256.0,64.0,0.2952,1.4406454496153462,1.0,0.5804840872115098,0.9703227248076731
42,1.0,0.0,0.0,0.0,ABC,1,40,8809,6900,11900,1.08,128.0,128.0,128.0,0.855,0.0,0.0,0.0,0.0
43,0.7,0.0,0.0,0.3,ABC,1,40,7620,6900,12600,1.08,128.0,128.0,128.0,0.2904,0.8812908992306927,0.0,0.8812908992306927,0.8812908992306927
44,0.7,0.1,0.0,0.2,ABC,1,40,7860,6900,13700,1.1,128.0,128.0,128.0,0.5445,1.1567796494470395,0.0,1.1567796494470395,1.1567796494470395
45,0.7,0.07,0.03,0.2,ABC,1,40,7776,7000,12600,1.11,128.0,128.0,128.0,0.5067,1.2449087393701088,0.0,1.2449087393701088,1.2449087393701088
46,0.7,0.03,0.07,0.2,ABC,1,40,7692,6600,12200,1.11,128.0,128.0,128.0,0.4564,1.2449087393701088,0.0,1.2449087393701088,1.2449087393701088
47,0.7,0.0,0.1,0.2,ABC,1,40,7612,5600,12700,1.08,128.0,128.0,128.0,0.4186,1.1567796494470395,0.0,1.1567796494470395,1.1567796494470395
48,0.7,0.2,0.0,0.1,ABC,1,40,8100,6800,12300,1.09,128.0,128.0,128.0,0.7986,1.1567796494470395,0.0,1.1567796494470395,1.1567796494470395
49,0.7,0.13,0.07,0.1,ABC,1,40,7933,6900,12500,1.08,128.0,128.0,128.0,0.7105,1.3435932605221377,0.0,1.3435932605221377,1.3435932605221377
50,0.7,0.07,0.13,0.1,ABC,1,40,7768,6400,12100,1.09,128.0,128.0,128.0,0.6349,1.3435932605221377,0.0,1.3435932605221377,1.3435932605221377
51,0.7,0.0,0.2,0.1,ABC,1,40,7604,5500,11800,1.08,128.0,128.0,128.0,0.5468,1.1567796494470395,0.0,1.1567796494470395,1.1567796494470395
52,0.7,0.3,0.0,0.0,ABC,1,40,8341,7200,11800,1.09,128.0,128.0,128.0,1.0527,0.8812908992306927,0.0,0.8812908992306927,0.8812908992306927
53,0.7,0.2,0.1,0.0,ABC,1,40,8092,7200,11700,1.09,128.0,128.0,128.0,0.9268,1.1567796494470395,0.0,1.1567796494470395,1.1567796494470395
54,0.7,0.1,0.2,0.0,ABC,1,40,7844,7000,11700,1.08,128.0,128.0,128.0,0.8009,1.1567796494470395,0.0,1.1567796494470395,1.1567796494470395
55,0.7,0.0,0.3,0.0,ABC,1,40,7596,5300,11600,1.09,128.0,128.0,128.0,0.675,0.8812908992306927,0.0,0.8812908992306927,0.8812908992306927
56,0.5,0.0,0.0,0.5,ABC,1,40,6826,6000,14900,1.1,128.0,128.0,128.0,-0.086,1.0,0.0,1.0,1.0
57,0.5,0.17,0.0,0.33,ABC,1,40,7226,6500,13600,1.1,128.0,128.0,128.0,0.346,1.462409352486515,0.0,1.462409352486515,1.462409352486515
58,0.5,0.11,0.06,0.33,ABC,1,40,7088,6000,15100,1.1,128.0,128.0,128.0,0.2704,1.6216428074057005,0.0,1.6216428074057005,1.6216428074057005
59,0.5,0.06,0.11,0.33,ABC,1,40,6950,5100,15200,1.09,128.0,128.0,128.0,0.2075,1.6216428074057005,0.0,1.6216428074057005,1.6216428074057005
60,0.5,0.0,0.17,0.33,ABC,1,40,6812,5200,14700,1.11,128.0,128.0,128.0,0.1319,1.462409352486515,0.0,1.462409352486515,1.462409352486515
61,0.5,0.33,0.0,0.17,ABC,1,40,7628,7600,12400,1.1,64.0,128.0,64.0,0.7525,1.462409352486515,0.0,1.462409352486515,1.462409352486515
62,0.5,0.22,0.11,0.17,ABC,1,40,7352,6500,12600,1.11,64.0,128.0,64.0,0.614,1.7654469777244965,0.0,1.7654469777244965,1.7654469777244965
63,0.5,0.11,0.22,0.17,ABC,1,40,7076,4700,13700,1.11,128.0,128.0,128.0,0.4756,1.7654469777244965,0.0,1.7654469777244965,1.7654469777244965
64,0.5,0.0,0.33,0.17,ABC,1,40,6800,4600,13400,1.1,128.0,128.0,128.0,0.3371,1.462409352486515,0.0,1.462409352486515,1.462409352486515
65,0.5,0.5,0.0,0.0,ABC,1,40,8028,7300,12000,1.11,128.0,128.0,128.0,1.1845,1.0,0.0,1.0,1.0
66,0.5,0.33,0.17,0.0,ABC,1,40,7614,5900,11400,1.1,45.254833995939045,128.0,45.254833995939045,0.9705,1.462409352486515,0.0,1.462409352486515,1.462409352486515
67,0.5,0.17,0.33,0.0,ABC,1,40,7201,5100,11200,1.09,32.0,128.0,32.0,0.769,1.462409352486515,0.0,1.462409352486515,1.462409352486515
68,0.5,0.0,0.5,0.0,ABC,1,40,6787,4700,12100,1.1,128.0,128.0,128.0,0.555,1.0,0.0,1.0,1.0
69,0.3,0.0,0.0,0.7,ABC,1,40,6033,5800,16100,1.1,128.0,128.0,128.0,-0.4624,0.8812908992306927,0.0,0.8812908992306927,0.8812908992306927
70,0.3,0.23,0.0,0.47,ABC,1,40,6594,5900,15600,1.13,128.0,128.0,128.0,0.122,1.5207130009105667,0.0,1.5207130009105667,1.5207130009105667
71,0.3,0.16,0.07,0.47,ABC,1,40,6402,5300,15700,1.12,128.0,128.0,128.0,0.0339,1.7246174062596473,0.0,1.7246174062596473,1.7246174062596473
72,0.3,0.08,0.15,0.47,ABC,1,40,6208,5000,15500,1.11,128.0,128.0,128.0,-0.0668,1.7350986614624018,0.0,1.7350986614624018,1.7350986614624018
73,0.3,0.0,0.23,0.47,ABC,1,40,6015,4500,16100,1.1,128.0,128.0,128.0,-0.1675,1.5207130009105667,0.0,1.5207130009105667,1.5207130009105667
74,0.3,0.47,0.0,0.23,ABC,1,40,7155,5900,12600,1.1,128.0,128.0,128.0,0.7319,1.5207130009105667,0.0,1.5207130009105667,1.5207130009105667
75,0.3,0.31,0.16,0.23,ABC,1,40,6769,5300,12200,1.1,45.254833995939045,128.0,45.254833995939045,0.5304,1.955568904979125,0.0,1.955568904979125,1.955568904979125
76,0.3,0.16,0.31,0.23,ABC,1,40,6383,4700,11400,1.11,64.0,128.0,64.0,0.3416,1.955568904979125,0.0,1.955568904979125,1.955568904979125
77,0.3,0.0,0.47,0.23,ABC,1,40,5996,3900,14000,1.11,128.0,128.0,128.0,0.1401,1.5207130009105667,0.0,1.5207130009105667,1.5207130009105667
78,0.3,0.7,0.0,0.0,ABC,1,40,7716,6300,11000,1.11,128.0,128.0,128.0,1.3163,0.8812908992306927,0.0,0.8812908992306927,0.8812908992306927
79,0.3,0.47,0.23,0.0,ABC,1,40,7137,4700,10400,1.11,128.0,128.0,128.0,1.0267,1.5207130009105667,0.0,1.5207130009105667,1.5207130009105667
80,0.3,0.23,0.47,0.0,ABC,1,40,6557,4100,10800,1.1,45.254833995939045,128.0,45.254833995939045,0.7246,1.5207130009105667,0.0,1.5207130009105667,1.5207130009105667
81,0.3,0.0,0.7,0.0,ABC,1,40,5978,3200,11300,1.13,128.0,128.0,128.0,0.435,0.8812908992306927,0.0,0.8812908992306927,0.8812908992306927
82,1.0,0.0,0.0,0.0,ABC,1,40,5966,3700,5600,1.29,128.0,128.0,128.0,0.966,0.0,0.0,0.0,0.0
83,0.7,0.0,0.0,0.3,ABC,1,40,5629,4800,11700,1.5,128.0,128.0,128.0,0.3681,0.8812908992306927,0.0,0.8812908992306927,0.8812908992306927
84,0.7,0.1,0.0,0.2,ABC,1,40,5869,5300,11000,1.48,128.0,128.0,128.0,0.6222,1.1567796494470395,0.0,1.1567796494470395,1.1567796494470395
85,0.7,0.07,0.03,0.2,ABC,1,40,5785,4900,11000,1.5,128.0,128.0,128.0,0.5844,1.2449087393701088,0.0,1.2449087393701088,1.2449087393701088
86,0.7,0.03,0.07,0.2,ABC,1,40,5702,4700,11000,1.51,128.0,128.0,128.0,0.5341,1.2449087393701088,0.0,1.2449087393701088,1.2449087393701088
87,0.7,0.0,0.1,0.2,ABC,1,40,5621,5000,10800,1.5,128.0,128.0,128.0,0.4963,1.1567796494470395,0.0,1.1567796494470395,1.1567796494470395
88,0.7,0.2,0.0,0.1,ABC,1,40,6110,5300,10400,1.5,128.0,128.0,128.0,0.8763,1.1567796494470395,0.0,1.1567796494470395,1.1567796494470395
89,0.7,0.13,0.07,0.1,ABC,1,40,5942,5700,10400,1.49,128.0,128.0,128.0,0.7882,1.3435932605221377,0.0,1.3435932605221377,1.3435932605221377
90,0.7,0.07,0.13,0.1,ABC,1,40,5777,5000,9400,1.53,128.0,128.0,128.0,0.7126,1.3435932605221377,0.0,1.3435932605221377,1.3435932605221377
91,0.7,0.0,0.2,0.1,ABC,1,40,5613,4700,9700,1.45,128.0,128.0,128.0,0.6245,1.1567796494470395,0.0,1.1567796494470395,1.1567796494470395
92,0.7,0.3,0.0,0.0,ABC,1,40,6350,6200,9400,1.48,128.0,128.0,128.0,1.1304,0.8812908992306927,0.0,0.8812908992306927,0.8812908992306927
93,0.7,0.2,0.1,0.0,ABC,1,40,6102,5400,9500,1.5,128.0,128.0,128.0,1.0045,1.1567796494470395,0.0,1.1567796494470395,1.1567796494470395
94,0.7,0.1,0.2,0.0,ABC,1,40,5854,4600,8800,1.41,128.0,128.0,128.0,0.8786,1.1567796494470395,0.0,1.1567796494470395,1.1567796494470395
95,0.7,0.0,0.3,0.0,ABC,1,40,5605,4300,8600,1.49,128.0,128.0,128.0,0.7527,0.8812908992306927,0.0,0.8812908992306927,0.8812908992306927
96,0.5,0.0,0.0,0.5,ABC,1,40,5405,4600,13600,1.44,128.0,128.0,128.0,-0.0305,1.0,0.0,1.0,1.0
97,0.5,0.17,0.0,0.33,ABC,1,40,5804,5300,13200,1.47,128.0,128.0,128.0,0.4015,1.462409352486515,0.0,1.462409352486515,1.462409352486515
98,0.5,0.11,0.06,0.33,ABC,1,40,5666,5000,13400,1.47,128.0,128.0,128.0,0.3259,1.6216428074057005,0.0,1.6216428074057005,1.6216428074057005
99,0.5,0.06,0.11,0.33,ABC,1,40,5528,4800,12200,1.46,128.0,128.0,128.0,0.263,1.6216428074057005,0.0,1.6216428074057005,1.6216428074057005
100,0.5,0.0,0.17,0.33,ABC,1,40,5390,3700,11100,1.45,128.0,128.0,128.0,0.1874,1.462409352486515,0.0,1.462409352486515,1.462409352486515
101,0.5,0.33,0.0,0.17,ABC,1,40,6206,6000,10800,1.42,128.0,128.0,128.0,0.808,1.462409352486515,0.0,1.462409352486515,1.462409352486515
102,0.5,0.22,0.11,0.17,ABC,1,40,5930,4300,10600,1.43,128.0,128.0,128.0,0.6695,1.7654469777244965,0.0,1.7654469777244965,1.7654469777244965
103,0.5,0.11,0.22,0.17,ABC,1,40,5654,4700,10300,1.44,128.0,128.0,128.0,0.5311,1.7654469777244965,0.0,1.7654469777244965,1.7654469777244965
104,0.5,0.0,0.33,0.17,ABC,1,40,5378,4300,10300,1.48,128.0,128.0,128.0,0.3926,1.462409352486515,0.0,1.462409352486515,1.462409352486515
105,0.5,0.5,0.0,0.0,ABC,1,40,6607,5800,9000,1.41,128.0,128.0,128.0,1.24,1.0,0.0,1.0,1.0
106,0.5,0.33,0.17,0.0,ABC,1,40,6193,4400,8900,1.41,128.0,128.0,128.0,1.026,1.462409352486515,0.0,1.462409352486515,1.462409352486515
107,0.5,0.17,0.33,0.0,ABC,1,40,5779,3600,9300,1.49,128.0,128.0,128.0,0.8245,1.462409352486515,0.0,1.462409352486515,1.462409352486515
108,0.5,0.0,0.5,0.0,ABC,1,40,5365,3600,8800,1.5,128.0,128.0,128.0,0.6105,1.0,0.0,1.0,1.0
109,0.3,0.0,0.0,0.7,ABC,1,40,5180,5000,14000,1.35,128.0,128.0,128.0,-0.4291,0.8812908992306927,0.0,0.8812908992306927,0.8812908992306927
110,0.3,0.23,0.0,0.47,ABC,1,40,5741,5100,13600,1.38,128.0,128.0,128.0,0.1553,1.5207130009105667,0.0,1.5207130009105667,1.5207130009105667
111,0.3,0.16,0.07,0.47,ABC,1,40,5549,4400,13000,1.34,128.0,128.0,128.0,0.0672,1.7246174062596473,0.0,1.7246174062596473,1.7246174062596473
112,0.3,0.08,0.15,0.47,ABC,1,40,5355,4000,13100,1.34,128.0,128.0,128.0,-0.0335,1.7350986614624018,0.0,1.7350986614624018,1.7350986614624018
113,0.3,0.0,0.23,0.47,ABC,1,40,5162,3800,12500,1.34,128.0,128.0,128.0,-0.1342,1.5207130009105667,0.0,1.5207130009105667,1.5207130009105667
114,0.3,0.47,0.0,0.23,ABC,1,40,6302,5000,11600,1.3,128.0,128.0,128.0,0.7652,1.5207130009105667,0.0,1.5207130009105667,1.5207130009105667
115,0.3,0.31,0.16,0.23,ABC,1,40,5916,4300,12300,1.36,128.0,128.0,128.0,0.5637,1.955568904979125,0.0,1.955568904979125,1.955568904979125
116,0.3,0.16,0.31,0.23,ABC,1,40,5530,3300,11500,1.35,128.0,128.0,128.0,0.3749,1.955568904979125,0.0,1.955568904979125,1.955568904979125
117,0.3,0.0,0.47,0.23,ABC,1,40,5143,2800,11300,1.4,128.0,128.0,128.0,0.1734,1.5207130009105667,0.0,1.5207130009105667,1.5207130009105667
118,0.3,0.7,0.0,0.0,ABC,1,40,6863,4500,10400,1.32,128.0,128.0,128.0,1.3496,0.8812908992306927,0.0,0.8812908992306927,0.8812908992306927
119,0.3,0.47,0.23,0.0,ABC,1,40,6284,3000,9700,1.31,128.0,128.0,128.0,1.06,1.5207130009105667,0.0,1.5207130009105667,1.5207130009105667
120,0.3,0.23,0.47,0.0,ABC,1,40,5704,4300,10100,1.36,128.0,128.0,128.0,0.7579,1.5207130009105667,0.0,1.5207130009105667,1.5207130009105667
121,0.3,0.0,0.7,0.0,ABC,1,40,5125,3300,8500,1.35,128.0,128.0,128.0,0.4683,0.8812908992306927,0.0,0.8812908992306927,0.8812908992306927
