Polymer Index,composition_A,composition_B1,composition_B2,composition_C,block_sequence_theoretical,Number of blocks,dpn,Target,NMR,GPC,Dispersity,MIC_PAO1,MIC_SA,MIC_PAO1_PA,cLogP_predicted
65,0.50,0.50,0.00,0.00,ABC,1,40,8028,7300,12000,1.11,128,>128,128,1.1845
66,0.50,0.33,0.17,0.00,ABC,1,40,7614,5900,11400,1.1,32-64,>128,32-64,0.9705
67,0.50,0.17,0.33,0.00,ABC,1,40,7201,5100,11200,1.09,32,>128,32,0.7690
68,0.50,0.00,0.50,0.00,ABC,1,40,6787,4700,12100,1.1,>128,>128,>128,0.5550
69,0.30,0.00,0.00,0.70,ABC,1,40,6033,5800,16100,1.1,>128,>128,>128,-0.4624
70,0.30,0.23,0.00,0.47,ABC,1,40,6594,5900,15600,1.13,128,>128,128,0.1220
71,0.30,0.16,0.07,0.47,ABC,1,40,6402,5300,15700,1.12,>128,>128,>128,0.0339
72,0.30,0.08,0.15,0.47,ABC,1,40,6208,5000,15500,1.11,>128,>128,>128,-0.0668
73,0.30,0.00,0.23,0.47,ABC,1,40,6015,4500,16100,1.1,>128,>128,>128,-0.1675
74,0.30,0.47,0.00,0.23,ABC,1,40,7155,5900,12600,1.1,128,>128,128,0.7319
75,0.30,0.31,0.16,0.23,ABC,1,40,6769,5300,12200,1.1,32-64,>128,32-64,0.5304
76,0.30,0.16,0.31,0.23,ABC,1,40,6383,4700,11400,1.11,64,>128,64,0.3416
77,0.30,0.00,0.47,0.23,ABC,1,40,5996,3900,14000,1.11,>128,>128,>128,0.1401
78,0.30,0.70,0.00,0.00,ABC,1,40,7716,6300,11000,1.11,>128,>128,>128,1.3163
79,0.30,0.47,0.23,0.00,ABC,1,40,7137,4700,10400,1.11,>128,>128,>128,1.0267
80,0.30,0.23,0.47,0.00,ABC,1,40,6557,4100,10800,1.1,32-64,>128,32-64,0.7246
81,0.30,0.00,0.70,0.00,ABC,1,40,5978,3200,11300,1.13,>128,>128,>128,0.4350
82,1.00,0.00,0.00,0.00,ABC,1,40,5966,3700,5600,1.29,>128,>128,>128,0.9660
83,0.70,0.00,0.00,0.30,ABC,1,40,5629,4800,11700,1.5,>128,>128,>128,0.3681
84,0.70,0.10,0.00,0.20,ABC,1,40,5869,5300,11000,1.48,>128,>128,>128,0.6222
85,0.70,0.07,0.03,0.20,ABC,1,40,5785,4900,11000,1.5,>128,>128,>128,0.5844
86,0.70,0.03,0.07,0.20,ABC,1,40,5702,4700,11000,1.51,>128,>128,>128,0.5341
87,0.70,0.00,0.10,0.20,ABC,1,40,5621,5000,10800,1.5,>128,>128,>128,0.4963
88,0.70,0.20,0.00,0.10,ABC,1,40,6110,5300,10400,1.5,>128,>128,>128,0.8763
89,0.70,0.13,0.07,0.10,ABC,1,40,5942,5700,10400,1.49,>128,>128,>128,0.7882
90,0.70,0.07,0.13,0.10,ABC,1,40,5777,5000,9400,1.53,>128,>128,>128,0.7126
91,0.70,0.00,0.20,0.10,ABC,1,40,5613,4700,9700,1.45,>128,>128,>128,0.6245
92,0.70,0.30,0.00,0.00,ABC,1,40,6350,6200,9400,1.48,>128,>128,>128,1.1304
93,0.70,0.20,0.10,0.00,ABC,1,40,6102,5400,9500,1.5,>128,>128,>128,1.0045
94,0.70,0.10,0.20,0.00,ABC,1,40,5854,4600,8800,1.41,>128,>128,>128,0.8786
95,0.70,0.00,0.30,0.00,ABC,1,40,5605,4300,8600,1.49,>128,>128,>128,0.7527
96,0.50,0.00,0.00,0.50,ABC,1,40,5405,4600,13600,1.44,>128,>128,>128,-0.0305
97,0.50,0.17,0.00,0.33,ABC,1,40,5804,5300,13200,1.47,>128,>128,>128,0.4015
98,0.50,0.11,0.06,0.33,ABC,1,40,5666,5000,13400,1.47,>128,>128,>128,0.3259
99,0.50,0.06,0.11,0.33,ABC,1,40,5528,4800,12200,1.46,>128,>128,>128,0.2630
100,0.50,0.00,0.17,0.33,ABC,1,40,5390,3700,11100,1.45,>128,>128,>128,0.1874
101,0.50,0.33,0.00,0.17,ABC,1,40,6206,6000,10800,1.42,>128,>128,>128,0.8080
102,0.50,0.22,0.11,0.17,ABC,1,40,5930,4300,10600,1.43,>128,>128,>128,0.6695
103,0.50,0.11,0.22,0.17,ABC,1,40,5654,4700,10300,1.44,>128,>128,>128,0.5311
104,0.50,0.00,0.33,0.17,ABC,1,40,5378,4300,10300,1.48,>128,>128,>128,0.3926
105,0.50,0.50,0.00,0.00,ABC,1,40,6607,5800,9000,1.41,>128,>128,>128,1.2400
106,0.50,0.33,0.17,0.00,ABC,1,40,6193,4400,8900,1.41,>128,>128,>128,1.0260
107,0.50,0.17,0.33,0.00,ABC,1,40,5779,3600,9300,1.49,>128,>128,>128,0.8245
108,0.50,0.00,0.50,0.00,ABC,1,40,5365,3600,8800,1.5,>128,>128,>128,0.6105
109,0.30,0.00,0.00,0.70,ABC,1,40,5180,5000,14000,1.35,>128,>128,>128,-0.4291
110,0.30,0.23,0.00,0.47,ABC,1,40,5741,5100,13600,1.38,>128,>128,>128,0.1553
111,0.30,0.16,0.07,0.47,ABC,1,40,5549,4400,13000,1.34,>128,>128,>128,0.0672
112,0.30,0.08,0.15,0.47,ABC,1,40,5355,4000,13100,1.34,>128,>128,>128,-0.0335
113,0.30,0.00,0.23,0.47,ABC,1,40,5162,3800,12500,1.34,>128,>128,>128,-0.1342
114,0.30,0.47,0.00,0.23,ABC,1,40,6302,5000,11600,1.3,>128,>128,>128,0.7652
115,0.30,0.31,0.16,0.23,ABC,1,40,5916,4300,12300,1.36,>128,>128,>128,0.5637
116,0.30,0.16,0.31,0.23,ABC,1,40,5530,3300,11500,1.35,>128,>128,>128,0.3749
117,0.30,0.00,0.47,0.23,ABC,1,40,5143,2800,11300,1.4,>128,>128,>128,0.1734
118,0.30,0.70,0.00,0.00,ABC,1,40,6863,4500,10400,1.32,>128,>128,>128,1.3496
119,0.30,0.47,0.23,0.00,ABC,1,40,6284,3000,9700,1.31,>128,>128,>128,1.0600
120,0.30,0.23,0.47,0.00,ABC,1,40,5704,4300,10100,1.36,>128,>128,>128,0.7579
121,0.30,0.00,0.70,0.00,ABC,1,40,5125,3300,8500,1.35,>128,>128,>128,0.4683
