fold,accuracy,f1_macro,f1_weighted
0,0.7391304347826086,0.48289345063538613,0.707637383654214
1,0.8636363636363636,0.7059139784946237,0.8348240469208211
2,0.7727272727272727,0.564935064935065,0.7399645808736718
3,0.6363636363636364,0.2745098039215686,0.5614973262032085
4,0.6818181818181818,0.4962962962962963,0.6858585858585858
