fold,rmse,mae,r2
0,41.56706323031992,22.033221888592408,0.45306685239370514
1,32.178609886038636,17.733905676207428,0.6813684716849226
2,29.42023936022707,14.163012256612406,0.6991854073828713
3,20.02666647292428,12.453894301040213,0.8756122053084305
4,24.594268032578448,15.926954994372569,0.7897798700969223
